RANK	MIN_DETECTABLE_RR	SOURCE_ID	DRUG_CONCEPT_ID	CONDITION_CONCEPT_ID	GROUND_TRUTH	LOGRR	LOGLB95RR	P	ANALYSIS_ID	p_full	source_name	condition_name	CONCEPT_ID	rxnorm_concept_name	atc5_concept_id	atc5_concept_name	atc3_concept_id	atc3_concept_name	atc1_concept_id	atc1_concept_name
80	1.08	29	990760	500000301	0	-0.0250136	-0.03956099	0.9996243	1939010	0.999624252	MarketScan Commercial Claims and Encounters (CCAE)	OMOP Acute Liver Failure 1	990760	Lipase	NULL	NULL	NULL	NULL	NULL	NULL
81	1.09	29	1314924	500000301	1	-0.114941	-0.1768294	0.9998637	1939010	0.999863744	MarketScan Commercial Claims and Encounters (CCAE)	OMOP Acute Liver Failure 1	1314924	gemcitabine	21601434	PYRIMIDINE ANALOGUES	21601387	ANTINEOPLASTIC AGENTS	21601386	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
82	1.08	29	1333357	500000301	1	-0.253134	-0.3843542	0.9999219	1939010	0.999921858	MarketScan Commercial Claims and Encounters (CCAE)	OMOP Acute Liver Failure 1	1333357	Busulfan	21601398	ALKYL SULFONATES	21601387	ANTINEOPLASTIC AGENTS	21601386	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
83	1.08	29	919204	500000301	0	-0.0934049	-0.1418185	0.999922	1939010	0.999922037	MarketScan Commercial Claims and Encounters (CCAE)	OMOP Acute Liver Failure 1	919204	Amylases	NULL	NULL	NULL	NULL	NULL	NULL
84	1.16	29	19008009	500000301	0	-0.184049	-0.2793173	0.9999236	1939010	0.999923587	MarketScan Commercial Claims and Encounters (CCAE)	OMOP Acute Liver Failure 1	19008009	Cosyntropin	21602684	ACTH	21602682	PITUITARY AND HYPOTHALAMIC HORMONES AND ANALOGUES	21602681	"SYSTEMIC HORMONAL PREPS,EXCL SEX HORMONES & INSULN"
85	1.02	29	1746940	500000301	1	-0.0375845	-0.05685718	0.9999339	1939010	0.999933898	MarketScan Commercial Claims and Encounters (CCAE)	OMOP Acute Liver Failure 1	1746940	Erythromycin	21603553	ANTIBIOTICS	21603551	OPHTHALMOLOGICALS	21603550	SENSORY ORGANS
86	1.11	29	735850	500000301	1	-0.177576	-0.260091	0.9999877	1939010	0.999987662	MarketScan Commercial Claims and Encounters (CCAE)	OMOP Acute Liver Failure 1	735850	Disulfiram	21604969	SULFUR CONTAINING PRODUCTS	21604967	"ECTOPARASITICIDES, INCL. SCABICIDES, INSECTICIDES"	21604847	"ANTIPARASITIC PRODUCTS, INSECTICIDES & REPELLENTS"
87	1.02	29	965748	500000301	0	-0.0586052	-0.08449563	0.9999954	1939010	0.99999541	MarketScan Commercial Claims and Encounters (CCAE)	OMOP Acute Liver Failure 1	965748	Scopolamine	21605059	ANTICHOLINERGICS	21603551	OPHTHALMOLOGICALS	21603550	SENSORY ORGANS
88	1.07	29	741530	500000301	1	-0.144876	-0.2081536	0.9999964	1939010	0.999996424	MarketScan Commercial Claims and Encounters (CCAE)	OMOP Acute Liver Failure 1	741530	orlistat	21600693	PERIPHERALLY ACTING ANTIOBESITY PRODUCTS	21600679	"ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS"	21600001	ALIMENTARY TRACT AND METABOLISM
89	1.01	29	1118084	500000301	1	-0.0436884	-0.06225377	0.999998	1939010	0.999998033	MarketScan Commercial Claims and Encounters (CCAE)	OMOP Acute Liver Failure 1	1118084	celecoxib	21603991	COXIBS	21603932	ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS	21603931	MUSCULO-SKELETAL SYSTEM
90	1.04	29	705103	500000301	1	-0.108223	-0.1526972	0.999999	1939010	0.999999046	MarketScan Commercial Claims and Encounters (CCAE)	OMOP Acute Liver Failure 1	705103	lamotrigine	21604428	OTHER ANTIEPILEPTICS	21604389	ANTIEPILEPTICS	21604180	NERVOUS SYSTEM
91	1.06	29	717136	500000301	0	-0.131746	-0.1849851	0.9999994	1939010	0.999999404	MarketScan Commercial Claims and Encounters (CCAE)	OMOP Acute Liver Failure 1	717136	Neostigmine	21604803	ANTICHOLINESTERASES	21604801	OTHER NERVOUS SYSTEM DRUGS	21604180	NERVOUS SYSTEM
92	1.02	29	1517824	500000301	1	-0.12877	-0.1527283	1	1939010	1	MarketScan Commercial Claims and Encounters (CCAE)	OMOP Acute Liver Failure 1	1517824	Nicotinic Acid	21601880	NICOTINIC ACID AND DERIVATIVES	21601853	LIPID MODIFYING AGENTS	21601237	CARDIOVASCULAR SYSTEM
93	1.02	29	1525215	500000301	1	-0.211362	-0.2380613	1	1939010	1	MarketScan Commercial Claims and Encounters (CCAE)	OMOP Acute Liver Failure 1	1525215	pioglitazone	21600779	THIAZOLIDINEDIONES	21600712	DRUGS USED IN DIABETES	21600001	ALIMENTARY TRACT AND METABOLISM
94	1.09	29	1704183	500000301	1	-0.262805	-0.3417534	1	1939010	1	MarketScan Commercial Claims and Encounters (CCAE)	OMOP Acute Liver Failure 1	1704183	Lamivudine	21603159	NUCLEOSIDE & NUCLEOTIDE RTIS	21603126	ANTIVIRALS FOR SYSTEMIC USE	21602795	ANTIINFECTIVES FOR SYSTEMIC USE
95	1.08	29	931973	500000301	0	-0.0469524	-0.05766621	1	1939010	1	MarketScan Commercial Claims and Encounters (CCAE)	OMOP Acute Liver Failure 1	931973	Endopeptidases	NULL	NULL	NULL	NULL	NULL	NULL
